MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974697,37.7924575,2.9000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2971.4000000,-0.0060467,-0.0804565,-2.8989756
MsgID.LOCAL_VELOCITY,2971.4000000,0.0001292,0.0000055,-0.0000455
MsgID.GLOBAL_POSITION,0.0000000,-122.3974683,37.7924566,2.8950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2971.6500000,-0.1051417,0.0163814,-2.8953440
MsgID.LOCAL_VELOCITY,2971.6500000,0.0001150,0.0000347,0.0000341
MsgID.GLOBAL_POSITION,0.0000000,-122.3974689,37.7924562,2.8990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2971.9000000,-0.1269140,-0.0405100,-2.9011381
MsgID.LOCAL_VELOCITY,2971.9000000,0.0001713,0.0000552,0.0000234
MsgID.GLOBAL_POSITION,0.0000000,-122.3974693,37.7924578,2.9130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2972.1500000,0.0282954,-0.0690667,-2.9139061
MsgID.LOCAL_VELOCITY,2972.1500000,0.0000816,0.0000394,-0.0000975
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974702,37.7924585,2.9310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2972.4000000,0.0984082,-0.1689176,-2.9346390
MsgID.LOCAL_VELOCITY,2972.4000000,0.0001157,0.0000774,-0.0000960
MsgID.GLOBAL_POSITION,0.0000000,-122.3974702,37.7924569,2.9540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2972.6500000,-0.0847846,-0.1409460,-2.9553165
MsgID.LOCAL_VELOCITY,2972.6500000,0.0001373,0.0000774,-0.0000947
MsgID.GLOBAL_POSITION,0.0000000,-122.3974678,37.7924562,2.9750000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2972.9000000,-0.1375464,0.0687599,-2.9785159
MsgID.LOCAL_VELOCITY,2972.9000000,0.0001138,0.0000116,0.0000306
MsgID.GLOBAL_POSITION,0.0000000,-122.3974685,37.7924572,2.9970000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2973.1510000,-0.0372066,-0.0049188,-2.9976923
MsgID.LOCAL_VELOCITY,2973.1510000,0.0001734,0.0000669,0.0000067
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974704,37.7924571,3.0150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2973.4010000,-0.0554692,-0.1854483,-3.0179565
MsgID.LOCAL_VELOCITY,2973.4010000,0.0001010,0.0000109,0.0000232
MsgID.GLOBAL_POSITION,0.0000000,-122.3974697,37.7924568,3.0340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2973.6510000,-0.0849269,-0.1074929,-3.0343928
MsgID.LOCAL_VELOCITY,2973.6510000,0.0001652,0.0000593,0.0000087
MsgID.GLOBAL_POSITION,0.0000000,-122.3974691,37.7924574,3.0490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2973.9010000,0.0005388,-0.0598961,-3.0514674
MsgID.LOCAL_VELOCITY,2973.9010000,0.0001286,0.0000757,-0.0000175
MsgID.GLOBAL_POSITION,0.0000000,-122.3974691,37.7924585,3.0640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2974.1510000,0.1075658,-0.0477147,-3.0647533
MsgID.LOCAL_VELOCITY,2974.1510000,0.0001159,0.0000397,0.0000345
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974700,37.7924589,3.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2974.4010000,0.1498955,-0.1604772,-3.0779634
MsgID.LOCAL_VELOCITY,2974.4010000,0.0001232,0.0000337,0.0000339
MsgID.GLOBAL_POSITION,0.0000000,-122.3974711,37.7924579,3.0860000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2974.6510000,0.0414582,-0.2299565,-3.0869052
MsgID.LOCAL_VELOCITY,2974.6510000,0.0001146,0.0000709,-0.0000992
MsgID.GLOBAL_POSITION,0.0000000,-122.3974709,37.7924572,3.0910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2974.9010000,-0.0345612,-0.1958351,-3.0921144
MsgID.LOCAL_VELOCITY,2974.9010000,0.0001013,0.0000110,0.0000243
MsgID.GLOBAL_POSITION,0.0000000,-122.3974684,37.7924572,3.0900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2975.1510000,-0.0349458,0.0086540,-3.0907736
MsgID.LOCAL_VELOCITY,2975.1510000,0.0001934,0.0000881,0.0000292
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974675,37.7924567,3.0830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2975.4010000,-0.1122699,0.0908303,-3.0826991
MsgID.LOCAL_VELOCITY,2975.4010000,0.0001247,0.0000445,-0.0000046
MsgID.GLOBAL_POSITION,0.0000000,-122.3974677,37.7924559,3.0720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2975.6510000,-0.1795337,0.0685191,-3.0722299
MsgID.LOCAL_VELOCITY,2975.6510000,0.0001187,0.0000031,-0.0000868
MsgID.GLOBAL_POSITION,0.0000000,-122.3974694,37.7924572,3.0620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2975.9010000,-0.0177574,-0.0917332,-3.0610790
MsgID.LOCAL_VELOCITY,2975.9010000,0.0001207,0.0000235,0.0000394
MsgID.GLOBAL_POSITION,0.0000000,-122.3974689,37.7924578,3.0560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2976.1520000,0.0246976,-0.0302330,-3.0565848
MsgID.LOCAL_VELOCITY,2976.1520000,0.0001965,0.0000780,-0.0000973
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974693,37.7924578,3.0600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2976.4020000,0.0183362,-0.0854988,-3.0623713
MsgID.LOCAL_VELOCITY,2976.4020000,0.0001365,0.0001007,-0.0000928
MsgID.GLOBAL_POSITION,0.0000000,-122.3974711,37.7924573,3.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2976.6520000,-0.0257749,-0.2268720,-3.0787547
MsgID.LOCAL_VELOCITY,2976.6520000,0.0000996,0.0000031,-0.0000774
MsgID.GLOBAL_POSITION,0.0000000,-122.3974711,37.7924583,3.1040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2976.9020000,0.1006731,-0.2164761,-3.1083927
MsgID.LOCAL_VELOCITY,2976.9020000,0.0001035,0.0000143,0.0000244
MsgID.GLOBAL_POSITION,0.0000000,-122.3974708,37.7924581,3.1400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2977.1520000,0.0583032,-0.2056188,-3.1400599
MsgID.LOCAL_VELOCITY,2977.1520000,0.0001009,0.0000454,0.0000101
